route_id,route_type,trip_id,stop_order,route_long_name,stop_name
IDFM:C00001,Bus,IDFM:KOVM:132299-C00001-865-287,"IDFM:9870,IDFM:2679,IDFM:2676,IDFM:21661,IDFM:2709,IDFM:461967,IDFM:2707,IDFM:423889,IDFM:35844,IDFM:463716,IDFM:423887,IDFM:463501,IDFM:21660,IDFM:463505,IDFM:463503,IDFM:41414,IDFM:463512,IDFM:8157,IDFM:2669,IDFM:36996,IDFM:26930,IDFM:26933,IDFM:36156,IDFM:26935,IDFM:29359,IDFM:29361,IDFM:11228,IDFM:30006",482,Jeanne d'Arc
IDFM:C00001,Bus,IDFM:KOVM:132299-C00001-816-287,"IDFM:30006,IDFM:36598,IDFM:30036,IDFM:36157,IDFM:25171,IDFM:26931,IDFM:26932,IDFM:26934,IDFM:21625,IDFM:21624,IDFM:463509,IDFM:10293,IDFM:9868,IDFM:9869,IDFM:2681,IDFM:21647,IDFM:472084,IDFM:463513,IDFM:35845,IDFM:2706,IDFM:21643,IDFM:461965,IDFM:21637,IDFM:2629,IDFM:21633,IDFM:2675,IDFM:9870",482,Belle Epine Sud
IDFM:C00001,Bus,IDFM:KOVM:132299-C00001-884-287,"IDFM:36996,IDFM:21625,IDFM:21624,IDFM:463509,IDFM:10293,IDFM:9868,IDFM:9869,IDFM:2681,IDFM:21647,IDFM:472084,IDFM:463513,IDFM:35845,IDFM:2706,IDFM:21643,IDFM:461965,IDFM:21637,IDFM:2629,IDFM:21633,IDFM:2675,IDFM:9870",482,Mairie
IDFM:C00001,Bus,IDFM:KOVM:132299-C00001-792-287,"IDFM:9870,IDFM:2679,IDFM:2676,IDFM:21661,IDFM:2709,IDFM:461967,IDFM:2707,IDFM:423889,IDFM:35844,IDFM:463716,IDFM:423887,IDFM:463501,IDFM:21660,IDFM:463505,IDFM:463503,IDFM:41414,IDFM:463512,IDFM:8157,IDFM:2669,IDFM:36996",482,Jeanne d'Arc
IDFM:C00003,Bus,IDFM:KOVM:132299-C00003-764-287,"IDFM:10297,IDFM:21652,IDFM:35846,IDFM:21654,IDFM:21655,IDFM:2681,IDFM:10295,IDFM:9870,IDFM:2679,IDFM:2676,IDFM:21661,IDFM:2709,IDFM:461967,IDFM:2707,IDFM:423889,IDFM:35844,IDFM:463716,IDFM:423887,IDFM:423888,IDFM:9870,IDFM:21646,IDFM:21660,IDFM:21647,IDFM:472084",Licorne,Foyer Jean Rostand
IDFM:C00003,Bus,IDFM:KOVM:132299-C00003-752-287,"IDFM:461967,IDFM:2707,IDFM:423889,IDFM:35844,IDFM:463716,IDFM:423887,IDFM:423888,IDFM:9870,IDFM:21646,IDFM:21660,IDFM:21647,IDFM:472084,IDFM:10291,IDFM:21648,IDFM:21649,IDFM:21650,IDFM:10292,IDFM:2671,IDFM:21651,IDFM:10297",Licorne,Ecoles
IDFM:C00003,Bus,IDFM:KOVM:132299-C00003-759-287,"IDFM:10297,IDFM:21652,IDFM:35846,IDFM:21654,IDFM:21655,IDFM:2681,IDFM:10295,IDFM:9870,IDFM:2679,IDFM:2676,IDFM:21661,IDFM:2709,IDFM:461967,IDFM:2707,IDFM:423889,IDFM:35844,IDFM:463716,IDFM:423887,IDFM:423888,IDFM:9870,IDFM:21646,IDFM:21660,IDFM:21647,IDFM:472084,IDFM:10291,IDFM:21648,IDFM:21649,IDFM:21650,IDFM:10292,IDFM:2671,IDFM:21651,IDFM:10297",Licorne,Foyer Jean Rostand
IDFM:C00004,Bus,IDFM:KOVM:132299-C00004-1049-287,"IDFM:423882,IDFM:2682,IDFM:2661,IDFM:21658,IDFM:2662,IDFM:2704,IDFM:2663,IDFM:2667,IDFM:8157,IDFM:2669,IDFM:2670,IDFM:2671,IDFM:35846,IDFM:2641,IDFM:2642,IDFM:2645,IDFM:2656,IDFM:8457,IDFM:480375",483,Gare de Choisy-le-Roi
IDFM:C00004,Bus,IDFM:KOVM:132299-C00004-1743-271,"IDFM:2628,IDFM:2629,IDFM:21633,IDFM:2675,IDFM:2634,IDFM:2636,IDFM:21634,IDFM:21622,IDFM:21660,IDFM:41414,IDFM:21659,IDFM:21630,IDFM:21625,IDFM:21624,IDFM:21628,IDFM:21631,IDFM:21627,IDFM:21629,IDFM:21626,IDFM:21635,IDFM:21623,IDFM:21657,IDFM:2705,IDFM:2660,IDFM:2677,IDFM:423882",483,Gare de Villeneuve-Saint-Georges
IDFM:C00004,Bus,IDFM:KOVM:132299-C00004-1995-527,"IDFM:423882,IDFM:2682,IDFM:2661,IDFM:21658,IDFM:2662,IDFM:2704,IDFM:2663,IDFM:2664,IDFM:2665,IDFM:2666,IDFM:2667,IDFM:8157,IDFM:2669,IDFM:2670,IDFM:2671,IDFM:471729,IDFM:2681,IDFM:2680,IDFM:2673,IDFM:423884,IDFM:2674,IDFM:2679,IDFM:2676,IDFM:21661,IDFM:461968,IDFM:2628",483,Gare de Choisy-le-Roi
